date,year,month,return_pct,cycle_label
1937-01-01,1937,1,3.36,post_election_year
1937-02-01,1937,2,1.1,post_election_year
1937-03-01,1937,3,-0.25,post_election_year
1937-04-01,1937,4,-7.33,post_election_year
1937-05-01,1937,5,-0.77,post_election_year
1937-06-01,1937,6,-4.2,post_election_year
1937-07-01,1937,7,8.94,post_election_year
1937-08-01,1937,8,-4.86,post_election_year
1937-09-01,1937,9,-13.58,post_election_year
1937-10-01,1937,10,-9.57,post_election_year
1937-11-01,1937,11,-8.31,post_election_year
1937-12-01,1937,12,-4.29,post_election_year
1938-01-01,1938,1,0.48,midterm_year
1938-02-01,1938,2,5.85,midterm_year
1938-03-01,1938,3,-23.92,midterm_year
1938-04-01,1938,4,14.49,midterm_year
1938-05-01,1938,5,-3.86,midterm_year
1938-06-01,1938,6,23.89,midterm_year
1938-07-01,1938,7,7.32,midterm_year
1938-08-01,1938,8,-2.68,midterm_year
1938-09-01,1938,9,0.85,midterm_year
1938-10-01,1938,10,7.81,midterm_year
1938-11-01,1938,11,-1.8,midterm_year
1938-12-01,1938,12,4.16,midterm_year
1939-01-01,1939,1,-5.98,pre_election_year
1939-02-01,1939,2,3.52,pre_election_year
1939-03-01,1939,3,-12.04,pre_election_year
1939-04-01,1939,4,-0.18,pre_election_year
1939-05-01,1939,5,6.82,pre_election_year
1939-06-01,1939,6,-5.32,pre_election_year
1939-07-01,1939,7,10.22,pre_election_year
1939-08-01,1939,8,-6.69,pre_election_year
1939-09-01,1939,9,16.9,pre_election_year
1939-10-01,1939,10,-0.53,pre_election_year
1939-11-01,1939,11,-3.65,pre_election_year
1939-12-01,1939,12,2.93,pre_election_year
1940-01-01,1940,1,-2.41,election_year
1940-02-01,1940,2,1.44,election_year
1940-03-01,1940,3,2.05,election_year
1940-04-01,1940,4,0.22,election_year
1940-05-01,1940,5,-22.02,election_year
1940-06-01,1940,6,6.69,election_year
1940-07-01,1940,7,3.18,election_year
1940-08-01,1940,8,2.2,election_year
1940-09-01,1940,9,2.39,election_year
1940-10-01,1940,10,3.03,election_year
1940-11-01,1940,11,-1.65,election_year
1940-12-01,1940,12,0.69,election_year
1941-01-01,1941,1,-4.19,post_election_year
1941-02-01,1941,2,-1.44,post_election_year
1941-03-01,1941,3,0.85,post_election_year
1941-04-01,1941,4,-5.47,post_election_year
1941-05-01,1941,5,1.37,post_election_year
1941-06-01,1941,6,5.83,post_election_year
1941-07-01,1941,7,5.9,post_election_year
1941-08-01,1941,8,-0.16,post_election_year
1941-09-01,1941,9,-0.87,post_election_year
1941-10-01,1941,10,-5.26,post_election_year
1941-11-01,1941,11,-1.95,post_election_year
1941-12-01,1941,12,-4.87,post_election_year
1942-01-01,1942,1,0.81,midterm_year
1942-02-01,1942,2,-2.45,midterm_year
1942-03-01,1942,3,-6.59,midterm_year
1942-04-01,1942,4,-4.36,midterm_year
1942-05-01,1942,5,5.99,midterm_year
1942-06-01,1942,6,2.7,midterm_year
1942-07-01,1942,7,3.54,midterm_year
1942-08-01,1942,8,1.83,midterm_year
1942-09-01,1942,9,2.65,midterm_year
1942-10-01,1942,10,6.85,midterm_year
1942-11-01,1942,11,0.16,midterm_year
1942-12-01,1942,12,5.17,midterm_year
1943-01-01,1943,1,7.16,pre_election_year
1943-02-01,1943,2,6.19,pre_election_year
1943-03-01,1943,3,6.06,pre_election_year
1943-04-01,1943,4,0.84,pre_election_year
1943-05-01,1943,5,5.77,pre_election_year
1943-06-01,1943,6,1.85,pre_election_year
1943-07-01,1943,7,-4.75,pre_election_year
1943-08-01,1943,8,1.33,pre_election_year
1943-09-01,1943,9,2.43,pre_election_year
1943-10-01,1943,10,-1.12,pre_election_year
1943-11-01,1943,11,-5.9,pre_election_year
1943-12-01,1943,12,6.4,pre_election_year
1944-01-01,1944,1,1.77,election_year
1944-02-01,1944,2,0.4,election_year
1944-03-01,1944,3,2.48,election_year
1944-04-01,1944,4,-1.66,election_year
1944-05-01,1944,5,5.11,election_year
1944-06-01,1944,6,5.54,election_year
1944-07-01,1944,7,-1.46,election_year
1944-08-01,1944,8,1.59,election_year
1944-09-01,1944,9,0.04,election_year
1944-10-01,1944,10,0.19,election_year
1944-11-01,1944,11,1.74,election_year
1944-12-01,1944,12,4.06,election_year
1945-01-01,1945,1,2.04,post_election_year
1945-02-01,1945,2,6.25,post_election_year
1945-03-01,1945,3,-3.89,post_election_year
1945-04-01,1945,4,7.83,post_election_year
1945-05-01,1945,5,1.77,post_election_year
1945-06-01,1945,6,0.41,post_election_year
1945-07-01,1945,7,-2.14,post_election_year
1945-08-01,1945,8,6.25,post_election_year
1945-09-01,1945,9,4.8,post_election_year
1945-10-01,1945,10,3.92,post_election_year
1945-11-01,1945,11,5.42,post_election_year
1945-12-01,1945,12,1.22,post_election_year
1946-01-01,1946,1,6.27,midterm_year
1946-02-01,1946,2,-5.81,midterm_year
1946-03-01,1946,3,5.91,midterm_year
1946-04-01,1946,4,4.26,midterm_year
1946-05-01,1946,5,3.97,midterm_year
1946-06-01,1946,6,-3.86,midterm_year
1946-07-01,1946,7,-2.66,midterm_year
1946-08-01,1946,8,-6.43,midterm_year
1946-09-01,1946,9,-10.15,midterm_year
1946-10-01,1946,10,-1.41,midterm_year
1946-11-01,1946,11,0.01,midterm_year
1946-12-01,1946,12,5.0,midterm_year
1947-01-01,1947,1,1.28,pre_election_year
1947-02-01,1947,2,-1.06,pre_election_year
1947-03-01,1947,3,-1.65,pre_election_year
1947-04-01,1947,4,-4.77,pre_election_year
1947-05-01,1947,5,-0.93,pre_election_year
1947-06-01,1947,6,5.33,pre_election_year
1947-07-01,1947,7,4.16,pre_election_year
1947-08-01,1947,8,-1.71,pre_election_year
1947-09-01,1947,9,-0.48,pre_election_year
1947-10-01,1947,10,2.53,pre_election_year
1947-11-01,1947,11,-1.93,pre_election_year
1947-12-01,1947,12,3.09,pre_election_year
1948-01-01,1948,1,-3.86,election_year
1948-02-01,1948,2,-4.31,election_year
1948-03-01,1948,3,8.2,election_year
1948-04-01,1948,4,3.73,election_year
1948-05-01,1948,5,7.4,election_year
1948-06-01,1948,6,-0.02,election_year
1948-07-01,1948,7,-5.0,election_year
1948-08-01,1948,8,0.33,election_year
1948-09-01,1948,9,-2.95,election_year
1948-10-01,1948,10,6.0,election_year
1948-11-01,1948,11,-9.3,election_year
1948-12-01,1948,12,3.3,election_year
1949-01-01,1949,1,0.33,post_election_year
1949-02-01,1949,2,-2.84,post_election_year
1949-03-01,1949,3,4.15,post_election_year
1949-04-01,1949,4,-1.78,post_election_year
1949-05-01,1949,5,-2.88,post_election_year
1949-06-01,1949,6,0.2,post_election_year
1949-07-01,1949,7,5.63,post_election_year
1949-08-01,1949,8,2.68,post_election_year
1949-09-01,1949,9,3.18,post_election_year
1949-10-01,1949,10,3.23,post_election_year
1949-11-01,1949,11,1.89,post_election_year
1949-12-01,1949,12,5.23,post_election_year
1950-01-01,1950,1,1.79,midterm_year
1950-02-01,1950,2,1.57,midterm_year
1950-03-01,1950,3,1.36,midterm_year
1950-04-01,1950,4,4.03,midterm_year
1950-05-01,1950,5,4.42,midterm_year
1950-06-01,1950,6,-5.86,midterm_year
1950-07-01,1950,7,1.47,midterm_year
1950-08-01,1950,8,4.96,midterm_year
1950-09-01,1950,9,4.92,midterm_year
1950-10-01,1950,10,-0.07,midterm_year
1950-11-01,1950,11,2.85,midterm_year
1950-12-01,1950,12,5.68,midterm_year
1951-01-01,1951,1,5.83,pre_election_year
1951-02-01,1951,2,1.5,pre_election_year
1951-03-01,1951,3,-2.05,pre_election_year
1951-04-01,1951,4,4.99,pre_election_year
1951-05-01,1951,5,-2.24,pre_election_year
1951-06-01,1951,6,-2.51,pre_election_year
1951-07-01,1951,7,7.08,pre_election_year
1951-08-01,1951,8,4.42,pre_election_year
1951-09-01,1951,9,0.82,pre_election_year
1951-10-01,1951,10,-2.37,pre_election_year
1951-11-01,1951,11,0.69,pre_election_year
1951-12-01,1951,12,3.45,pre_election_year
1952-01-01,1952,1,1.6,election_year
1952-02-01,1952,2,-2.52,election_year
1952-03-01,1952,3,4.55,election_year
1952-04-01,1952,4,-4.85,election_year
1952-05-01,1952,5,3.33,election_year
1952-06-01,1952,6,3.99,election_year
1952-07-01,1952,7,1.06,election_year
1952-08-01,1952,8,-0.62,election_year
1952-09-01,1952,9,-1.88,election_year
1952-10-01,1952,10,-0.52,election_year
1952-11-01,1952,11,6.06,election_year
1952-12-01,1952,12,3.09,election_year
1953-01-01,1953,1,-0.18,post_election_year
1953-02-01,1953,2,-0.13,post_election_year
1953-03-01,1953,3,-1.26,post_election_year
1953-04-01,1953,4,-2.67,post_election_year
1953-05-01,1953,5,0.68,post_election_year
1953-06-01,1953,6,-1.71,post_election_year
1953-07-01,1953,7,2.55,post_election_year
1953-08-01,1953,8,-4.39,post_election_year
1953-09-01,1953,9,0.37,post_election_year
1953-10-01,1953,10,4.73,post_election_year
1953-11-01,1953,11,2.92,post_election_year
1953-12-01,1953,12,0.15,post_election_year
1954-01-01,1954,1,5.24,midterm_year
1954-02-01,1954,2,1.74,midterm_year
1954-03-01,1954,3,3.74,midterm_year
1954-04-01,1954,4,4.36,midterm_year
1954-05-01,1954,5,3.15,midterm_year
1954-06-01,1954,6,1.14,midterm_year
1954-07-01,1954,7,5.05,midterm_year
1954-08-01,1954,8,-2.3,midterm_year
1954-09-01,1954,9,6.49,midterm_year
1954-10-01,1954,10,-1.6,midterm_year
1954-11-01,1954,11,9.47,midterm_year
1954-12-01,1954,12,5.57,midterm_year
1955-01-01,1955,1,0.68,pre_election_year
1955-02-01,1955,2,3.11,pre_election_year
1955-03-01,1955,3,-0.05,pre_election_year
1955-04-01,1955,4,3.21,pre_election_year
1955-05-01,1955,5,1.08,pre_election_year
1955-06-01,1955,6,6.65,pre_election_year
1955-07-01,1955,7,1.99,pre_election_year
1955-08-01,1955,8,0.38,pre_election_year
1955-09-01,1955,9,-0.21,pre_election_year
1955-10-01,1955,10,-2.49,pre_election_year
1955-11-01,1955,11,7.21,pre_election_year
1955-12-01,1955,12,1.67,pre_election_year
1956-01-01,1956,1,-2.81,election_year
1956-02-01,1956,2,3.97,election_year
1956-03-01,1956,3,6.79,election_year
1956-04-01,1956,4,0.47,election_year
1956-05-01,1956,5,-4.99,election_year
1956-06-01,1956,6,3.67,election_year
1956-07-01,1956,7,5.06,election_year
1956-08-01,1956,8,-3.02,election_year
1956-09-01,1956,9,-4.96,election_year
1956-10-01,1956,10,0.77,election_year
1956-11-01,1956,11,0.55,election_year
1956-12-01,1956,12,3.4,election_year
1957-01-01,1957,1,-3.3,post_election_year
1957-02-01,1957,2,-1.83,post_election_year
1957-03-01,1957,3,2.36,post_election_year
1957-04-01,1957,4,4.51,post_election_year
1957-05-01,1957,5,3.72,post_election_year
1957-06-01,1957,6,-0.51,post_election_year
1957-07-01,1957,7,0.96,post_election_year
1957-08-01,1957,8,-4.87,post_election_year
1957-09-01,1957,9,-5.73,post_election_year
1957-10-01,1957,10,-4.03,post_election_year
1957-11-01,1957,11,2.59,post_election_year
1957-12-01,1957,12,-3.66,post_election_year
1958-01-01,1958,1,4.93,midterm_year
1958-02-01,1958,2,-1.41,midterm_year
1958-03-01,1958,3,3.36,midterm_year
1958-04-01,1958,4,3.17,midterm_year
1958-05-01,1958,5,2.43,midterm_year
1958-06-01,1958,6,2.96,midterm_year
1958-07-01,1958,7,4.46,midterm_year
1958-08-01,1958,8,1.94,midterm_year
1958-09-01,1958,9,4.85,midterm_year
1958-10-01,1958,10,2.71,midterm_year
1958-11-01,1958,11,3.12,midterm_year
1958-12-01,1958,12,5.38,midterm_year
1959-01-01,1959,1,0.92,pre_election_year
1959-02-01,1959,2,1.14,pre_election_year
1959-03-01,1959,3,0.5,pre_election_year
1959-04-01,1959,4,3.86,pre_election_year
1959-05-01,1959,5,1.95,pre_election_year
1959-06-01,1959,6,0.0,pre_election_year
1959-07-01,1959,7,3.43,pre_election_year
1959-08-01,1959,8,-1.19,pre_election_year
1959-09-01,1959,9,-4.5,pre_election_year
1959-10-01,1959,10,1.58,pre_election_year
1959-11-01,1959,11,1.86,pre_election_year
1959-12-01,1959,12,2.8,pre_election_year
1960-01-01,1960,1,-6.65,election_year
1960-02-01,1960,2,1.45,election_year
1960-03-01,1960,3,-1.28,election_year
1960-04-01,1960,4,-1.52,election_year
1960-05-01,1960,5,3.39,election_year
1960-06-01,1960,6,2.32,election_year
1960-07-01,1960,7,-2.24,election_year
1960-08-01,1960,8,3.17,election_year
1960-09-01,1960,9,-5.84,election_year
1960-10-01,1960,10,-0.49,election_year
1960-11-01,1960,11,4.82,election_year
1960-12-01,1960,12,4.89,election_year
1961-01-01,1961,1,6.39,post_election_year
1961-02-01,1961,2,3.71,post_election_year
1961-03-01,1961,3,3.09,post_election_year
1961-04-01,1961,4,0.46,post_election_year
1961-05-01,1961,5,2.58,post_election_year
1961-06-01,1961,6,-2.88,post_election_year
1961-07-01,1961,7,3.01,post_election_year
1961-08-01,1961,8,2.71,post_election_year
1961-09-01,1961,9,-1.98,post_election_year
1961-10-01,1961,10,2.77,post_election_year
1961-11-01,1961,11,4.6,post_election_year
1961-12-01,1961,12,0.02,post_election_year
1962-01-01,1962,1,-3.63,midterm_year
1962-02-01,1962,2,2.01,midterm_year
1962-03-01,1962,3,-0.48,midterm_year
1962-04-01,1962,4,-6.37,midterm_year
1962-05-01,1962,5,-8.42,midterm_year
1962-06-01,1962,6,-8.3,midterm_year
1962-07-01,1962,7,6.54,midterm_year
1962-08-01,1962,8,2.36,midterm_year
1962-09-01,1962,9,-5.01,midterm_year
1962-10-01,1962,10,0.21,midterm_year
1962-11-01,1962,11,11.09,midterm_year
1962-12-01,1962,12,1.24,midterm_year
1963-01-01,1963,1,5.19,pre_election_year
1963-02-01,1963,2,-2.17,pre_election_year
1963-03-01,1963,3,3.31,pre_election_year
1963-04-01,1963,4,4.76,pre_election_year
1963-05-01,1963,5,2.0,pre_election_year
1963-06-01,1963,6,-1.77,pre_election_year
1963-07-01,1963,7,-0.12,pre_election_year
1963-08-01,1963,8,5.33,pre_election_year
1963-09-01,1963,9,-1.3,pre_election_year
1963-10-01,1963,10,2.83,pre_election_year
1963-11-01,1963,11,-0.59,pre_election_year
1963-12-01,1963,12,2.12,pre_election_year
1964-01-01,1964,1,2.54,election_year
1964-02-01,1964,2,1.81,election_year
1964-03-01,1964,3,1.72,election_year
1964-04-01,1964,4,0.39,election_year
1964-05-01,1964,5,1.67,election_year
1964-06-01,1964,6,1.57,election_year
1964-07-01,1964,7,2.04,election_year
1964-08-01,1964,8,-1.16,election_year
1964-09-01,1964,9,2.97,election_year
1964-10-01,1964,10,0.89,election_year
1964-11-01,1964,11,0.28,election_year
1964-12-01,1964,12,0.35,election_year
1965-01-01,1965,1,3.82,post_election_year
1965-02-01,1965,2,0.74,post_election_year
1965-03-01,1965,3,-0.98,post_election_year
1965-04-01,1965,4,3.42,post_election_year
1965-05-01,1965,5,-0.47,post_election_year
1965-06-01,1965,6,-5.16,post_election_year
1965-07-01,1965,7,1.75,post_election_year
1965-08-01,1965,8,3.06,post_election_year
1965-09-01,1965,9,3.17,post_election_year
1965-10-01,1965,10,2.91,post_election_year
1965-11-01,1965,11,0.32,post_election_year
1965-12-01,1965,12,1.34,post_election_year
1966-01-01,1966,1,1.1,midterm_year
1966-02-01,1966,2,-0.86,midterm_year
1966-03-01,1966,3,-2.13,midterm_year
1966-04-01,1966,4,2.47,midterm_year
1966-05-01,1966,5,-5.26,midterm_year
1966-06-01,1966,6,-1.06,midterm_year
1966-07-01,1966,7,-1.28,midterm_year
1966-08-01,1966,8,-7.53,midterm_year
1966-09-01,1966,9,-0.66,midterm_year
1966-10-01,1966,10,4.31,midterm_year
1966-11-01,1966,11,1.78,midterm_year
1966-12-01,1966,12,0.53,midterm_year
1967-01-01,1967,1,8.58,pre_election_year
1967-02-01,1967,2,1.13,pre_election_year
1967-03-01,1967,3,4.38,pre_election_year
1967-04-01,1967,4,4.21,pre_election_year
1967-05-01,1967,5,-3.99,pre_election_year
1967-06-01,1967,6,2.69,pre_election_year
1967-07-01,1967,7,4.9,pre_election_year
1967-08-01,1967,8,-0.59,pre_election_year
1967-09-01,1967,9,3.42,pre_election_year
1967-10-01,1967,10,-2.69,pre_election_year
1967-11-01,1967,11,0.73,pre_election_year
1967-12-01,1967,12,3.38,pre_election_year
1968-01-01,1968,1,-3.63,election_year
1968-02-01,1968,2,-3.35,election_year
1968-03-01,1968,3,0.59,election_year
1968-04-01,1968,4,9.45,election_year
1968-05-01,1968,5,2.73,election_year
1968-06-01,1968,6,1.13,election_year
1968-07-01,1968,7,-2.21,election_year
1968-08-01,1968,8,1.77,election_year
1968-09-01,1968,9,4.48,election_year
1968-10-01,1968,10,0.87,election_year
1968-11-01,1968,11,5.85,election_year
1968-12-01,1968,12,-3.5,election_year
1969-01-01,1969,1,-0.72,post_election_year
