Symbol,Score,Grade,Decision,RVOL,Price,Change%,Gap%,Float_M,Catalyst
ABTS,40,A,GO,17.6,1.41,+27.0,+52.2,1.7,"Get insights into the top gainers and losers of Thursday's pre-market session."
RDZN,37,B,WAIT,9.7,1.63,-5.2,+5.2,48.9,"Roadzen Secures LOI for $30 Million Insurance Capacity Commitment From Leading U"
MRAM,36,B,WAIT,6.3,17.45,+32.3,+14.6,18.7,"Get insights into the top gainers and losers of Thursday's pre-market session."
DFSC,32,B,WAIT,11.0,2.71,+7.2,+5.5,2.0,"DEFSEC Ships New BLISS ("Battlespace Laser Identification Sensor System") To U.S"
MSS,31,B,WAIT,11.0,1.20,-1.6,+5.7,1.4,"Notice of Proposed Settlement of Stockholder Derivative Action: Maison Solutions"
FATN,30,B,WAIT,10.7,3.65,+47.2,+6.8,8.8,"Get insights into the top gainers and losers of Thursday's pre-market session."
