Symbol,Score,Grade,Decision,RVOL,Price,Change%,Gap%,Float_M,Catalyst
WSHP,46,A,GO,242.4,14.27,+73.5,+0.0,1.3,"Keep an eye on the top gainers and losers in Thursday's session."
ONFO,45,A,GO,1437.9,1.50,+124.9,+0.0,4.0,"Onfolio Holdings Inc. Secures $100 Million Equity Facility to Accelerate Acquisi"
NUCL,43,A,GO,9.8,12.20,+28.1,+0.0,2.2,"Why Is NuScale Power Stock Sliding Thursday?"
MYSE,40,A,GO,318.8,3.30,+129.2,+0.0,4.0,"Massimo Group (MAMO) Stock Jumps Nearly 39% After Hours: Here's What You Should "
MAMO,37,B,WAIT,39.2,1.19,+20.6,+0.0,8.9,"Massimo Group (MAMO) Stock Jumps Nearly 39% After Hours: Here's What You Should "
GLND,34,B,WAIT,3.2,7.96,+45.0,+0.0,8.9,"Shares of oil and gas-related companies are trading higher as Middle East tensio"
NEXA,31,B,WAIT,4.8,14.87,+1.5,+0.0,43.5,"NEXA vs. NGLOY: Which Stock Is the Better Value Option?"
ACHV,30,B,WAIT,20.9,4.81,+35.5,+0.0,46.6,"Achieve Life Sciences Announces $180M Financing Upfront With Up To Additional $1"
