Symbol,Score,Grade,Decision,RVOL,Price,Change%,Gap%,Float_M,Catalyst
ABTS,38,B,WAIT,17.6,1.42,+27.9,+52.2,1.7,"Abits : 2025 Annual Financial Report"
FATN,38,B,WAIT,10.7,3.70,+49.2,+6.8,8.8,"What's going on in today's after hours session"
RDZN,37,B,WAIT,9.7,1.65,-4.1,+5.2,48.9,"Roadzen Secures LOI for $30 Million Insurance Capacity Commitment From Leading U"
MRAM,34,B,WAIT,6.3,16.20,+22.8,+14.6,18.7,"Everspin Technologies Inc (MRAM) Q1 2026 Earnings Call Highlights: Strong MRAM S"
DFSC,32,B,WAIT,11.0,2.74,+8.3,+5.5,2.0,"DEFSEC Ships New BLISS ("Battlespace Laser Identification Sensor System") To U.S"
